Time,Status,Message,Details
2024-06-02 08:13:49,Success,All as expected,UHWaitTimeValue: 2.5 hours; VHWaitTimeValue: 6.75 hours
2024-06-02 08:28:50,Success,All as expected,UHWaitTimeValue: 2.75 hours; VHWaitTimeValue: 7.0 hours
2024-06-02 08:43:52,Success,All as expected,UHWaitTimeValue: 2.25 hours; VHWaitTimeValue: 7.25 hours
2024-06-02 08:58:53,Success,All as expected,UHWaitTimeValue: 2.5 hours; VHWaitTimeValue: 7.5 hours
2024-06-02 09:13:54,Success,All as expected,UHWaitTimeValue: 2.75 hours; VHWaitTimeValue: 6.25 hours
2024-06-02 09:28:56,Success,All as expected,UHWaitTimeValue: 3.0 hours; VHWaitTimeValue: 5.5 hours
2024-06-02 09:43:57,Success,All as expected,UHWaitTimeValue: 3.25 hours; VHWaitTimeValue: 5.75 hours
2024-06-02 09:58:59,Success,All as expected,UHWaitTimeValue: 2.5 hours; VHWaitTimeValue: 3.25 hours
2024-06-02 10:14:00,Success,All as expected,UHWaitTimeValue: 1.75 hours; VHWaitTimeValue: 2.5 hours
2024-06-02 10:29:01,Success,All as expected,UHWaitTimeValue: 2.0 hours; VHWaitTimeValue: 2.5 hours
2024-06-02 10:44:03,Success,All as expected,UHWaitTimeValue: 2.25 hours; VHWaitTimeValue: 2.75 hours
2024-06-02 10:59:04,Success,All as expected,UHWaitTimeValue: 2.5 hours; VHWaitTimeValue: 2.25 hours
